2025-03-19T21:14:38.323722Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_retired_entries[1]"
2025-03-19T21:14:38.323726Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_retired_entries[2]"
2025-03-19T21:14:38.323730Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_head"
2025-03-19T21:14:38.323735Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_tail"
2025-03-19T21:14:38.323739Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.size"
2025-03-19T21:14:38.323743Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_size"
2025-03-19T21:14:38.323748Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.squash"
2025-03-19T21:14:38.323781Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[0].t"
2025-03-19T21:14:38.323786Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[0].t_old"
2025-03-19T21:14:38.323791Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[0].bmask"
2025-03-19T21:14:38.323795Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[0].retire_rdy"
2025-03-19T21:14:38.323800Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[1].t"
2025-03-19T21:14:38.323805Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[1].t_old"
2025-03-19T21:14:38.323809Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[1].bmask"
2025-03-19T21:14:38.323814Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[1].retire_rdy"
2025-03-19T21:14:38.323818Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[2].t"
2025-03-19T21:14:38.323822Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[2].t_old"
2025-03-19T21:14:38.323827Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[2].bmask"
2025-03-19T21:14:38.323831Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[2].retire_rdy"
2025-03-19T21:14:38.323835Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[3].t"
2025-03-19T21:14:38.323840Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[3].t_old"
2025-03-19T21:14:38.323844Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[3].bmask"
2025-03-19T21:14:38.323848Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[3].retire_rdy"
2025-03-19T21:14:38.323853Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[4].t"
2025-03-19T21:14:38.323857Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[4].t_old"
2025-03-19T21:14:38.323863Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[4].bmask"
2025-03-19T21:14:38.323868Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[4].retire_rdy"
2025-03-19T21:14:38.323878Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[5].t"
2025-03-19T21:14:38.323883Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[5].t_old"
2025-03-19T21:14:38.323887Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[5].bmask"
2025-03-19T21:14:38.323892Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[5].retire_rdy"
2025-03-19T21:14:38.323897Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[6].t"
2025-03-19T21:14:38.323901Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[6].t_old"
2025-03-19T21:14:38.323906Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[6].bmask"
2025-03-19T21:14:38.323910Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[6].retire_rdy"
2025-03-19T21:14:38.323915Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[7].t"
2025-03-19T21:14:38.323919Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_entries[7].t_old"
